Date,All,Young,MirageLyu,LeoDarcy
Fri Mar 22 00:00:00 CST 2019,2,2,0,0
Sat Mar 23 00:00:00 CST 2019,7,6,0,1
Sun Mar 24 00:00:00 CST 2019,1,0,0,1
Mon Mar 25 00:00:00 CST 2019,0,0,0,0
Tue Mar 26 00:00:00 CST 2019,0,0,0,0
Wed Mar 27 00:00:00 CST 2019,0,0,0,0
Thu Mar 28 00:00:00 CST 2019,0,0,0,0
Fri Mar 29 00:00:00 CST 2019,0,0,0,0
Sat Mar 30 00:00:00 CST 2019,0,0,0,0
Sun Mar 31 00:00:00 CST 2019,0,0,0,0
Mon Apr 01 00:00:00 CST 2019,0,0,0,0
Tue Apr 02 00:00:00 CST 2019,0,0,0,0
Wed Apr 03 00:00:00 CST 2019,5,0,5,0
Thu Apr 04 00:00:00 CST 2019,1,0,1,0
Fri Apr 05 00:00:00 CST 2019,26,14,7,5
Sat Apr 06 00:00:00 CST 2019,0,0,0,0
Sun Apr 07 00:00:00 CST 2019,2,0,2,0
Mon Apr 08 00:00:00 CST 2019,0,0,0,0
Tue Apr 09 00:00:00 CST 2019,1,1,0,0
Summary,45,23,15,7
