Date,All,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Sat Dec 22 00:00:00 CST 2012,21,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 24 00:00:00 CST 2012,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 31 00:00:00 CST 2012,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 07 00:00:00 CST 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 14 00:00:00 CST 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 21 00:00:00 CST 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 28 00:00:00 CST 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 04 00:00:00 CST 2013,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 11 00:00:00 CST 2013,23,0,9,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 18 00:00:00 CST 2013,43,0,8,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 25 00:00:00 CST 2013,70,0,11,0,0,7,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 04 00:00:00 CST 2013,36,0,11,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 11 00:00:00 CST 2013,31,0,6,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 18 00:00:00 CST 2013,49,0,15,0,0,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 25 00:00:00 CST 2013,14,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 01 00:00:00 CST 2013,26,0,4,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 08 00:00:00 CST 2013,63,0,9,0,0,9,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
