Date,All,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Sat Dec 22 00:00:00 CST 2012,7,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Dec 23 00:00:00 CST 2012,14,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 24 00:00:00 CST 2012,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Dec 25 00:00:00 CST 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Dec 26 00:00:00 CST 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Dec 27 00:00:00 CST 2012,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Dec 28 00:00:00 CST 2012,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Dec 29 00:00:00 CST 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Dec 30 00:00:00 CST 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 31 00:00:00 CST 2012,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 01 00:00:00 CST 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 02 00:00:00 CST 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jan 03 00:00:00 CST 2013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jan 04 00:00:00 CST 2013,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
