 ,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Bin Fan,0.0,0.028524895269256473,0.02857142857142857,0.021832187779978623,0.012464991373605704,0.019473541261232866,0.023782574707724703,0.01878783393176317,0.0125,0.01526228488318767,0.019370971105651492,0.012186968616908324,0.0136986301369863,0.011627906976744186,0.012013366299123545,0.011043152607484653,0.010752688172043012,0.0125,0.010752688172043012,0.012345679012345678,0.012345679012345678,0.010752688172043012,0.011101521345712146,0.012597815979981676,0.010752688172043012,0.012374948760083871,0.011275884962655315
Calvin Jia,0.028524895269256473,0.0,0.022576182049286544,0.02388410885962159,0.014846210376062518,0.025047007249281213,0.01999600119960014,0.01671782719814218,0.012312880839446302,0.017394592861488423,0.015421158465515792,0.010438208639788614,0.014016549298025123,0.009615384615384616,0.010159223669916652,0.009523809523809525,0.009523809523809525,0.0112530158607263,0.009523809523809525,0.01064492590824699,0.014116748304842436,0.009523809523809525,0.009523809523809525,0.011255866890886238,0.009615384615384616,0.012449526117807317,0.009745551866148994
Andrew Audibert,0.02857142857142857,0.022576182049286544,0.0,0.02082881368183567,0.012172514090111644,0.01950685786602176,0.02267462937912591,0.02701716134791496,0.017589938618257295,0.014766683779622342,0.019083135479350182,0.012449526117807317,0.015841118295695487,0.015151515151515152,0.011497291269829233,0.011494252873563218,0.011494252873563218,0.015625,0.011494252873563218,0.011876183038093588,0.012417809977047488,0.011494252873563218,0.011494252873563218,0.012352270154415071,0.012639003479138967,0.012285902336679025,0.011494252873563218
Yupeng Fu,0.021832187779978623,0.02388410885962159,0.02082881368183567,0.0,0.015526752351113423,0.029748205865436483,0.029411764705882353,0.021491713855208944,0.014249409997581928,0.03087537605472192,0.0264535453763972,0.01526940016790202,0.021693045781865615,0.013157894736842105,0.015545502209836045,0.013157894736842105,0.013157894736842105,0.0136986301369863,0.013157894736842105,0.017000510022951148,0.017238817250844786,0.013157894736842105,0.0141690825043918,0.016985788839624958,0.013157894736842105,0.019055398349167647,0.014083110254721722
Haoyuan Li,0.012464991373605704,0.014846210376062518,0.012172514090111644,0.015526752351113423,0.0,0.016169041669088866,0.017238817250844786,0.015151515151515152,0.012899199629493716,0.01817881366751496,0.015151515151515152,0.014833138649666159,0.015151515151515152,0.01169930777243805,0.01629953416597021,0.01818181818181818,0.014084507042253521,0.014084507042253521,0.016662038965156757,0.015355567229582588,0.015151515151515152,0.014084507042253521,0.015811388300841896,0.015151515151515152,0.014084507042253521,0.018925279102611613,0.01456019065820884
Jiri Simsa,0.019473541261232866,0.025047007249281213,0.01950685786602176,0.029748205865436483,0.016169041669088866,0.0,0.021879166839686815,0.02039118475715464,0.014219127353430849,0.02480694691784169,0.02009263970630489,0.012418767513385191,0.017482090031876642,0.011235955056179775,0.013157894736842105,0.012195121951219513,0.011235955056179775,0.012870321985377383,0.012047318414773371,0.014454852115694089,0.014918727820938253,0.011235955056179775,0.012597815979981676,0.013697345026974844,0.011235955056179775,0.01533929977694741,0.011903918403013953
Gene Pang,0.023782574707724703,0.01999600119960014,0.02267462937912591,0.029411764705882353,0.017238817250844786,0.021879166839686815,0.0,0.02262235015895634,0.014589603651080283,0.03787770095392851,0.02502347051056742,0.014438269394140333,0.02039118475715464,0.012987012987012988,0.015617376188860606,0.01509616696597921,0.012987012987012988,0.013527106736158256,0.014049711527259569,0.017519611040921222,0.018515344006020947,0.012987012987012988,0.014833138649666159,0.01613322979418192,0.012987012987012988,0.01817881366751496,0.013887549490757716
Pei Sun,0.01878783393176317,0.01671782719814218,0.02701716134791496,0.021491713855208944,0.015151515151515152,0.02039118475715464,0.02262235015895634,0.0,0.028194193721730047,0.020703445650635786,0.03624997167972069,0.0196078431372549,0.020721216851891204,0.017543859649122806,0.01798375003164016,0.013157894736842105,0.017543859649122806,0.02857142857142857,0.017543859649122806,0.018518518518518517,0.018518518518518517,0.017543859649122806,0.017543859649122806,0.02,0.017543859649122806,0.02,0.017710908674395363
madanadit,0.0125,0.012312880839446302,0.017589938618257295,0.014249409997581928,0.012899199629493716,0.014219127353430849,0.014589603651080283,0.028194193721730047,0.0,0.01662745363976212,0.02127659574468085,0.01282051282051282,0.013301448074460369,0.019822394114938212,0.01282051282051282,0.01282051282051282,0.01662056238286334,0.017167540087486825,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.014503419584298023,0.01282051282051282,0.01282051282051282
cc,0.01526228488318767,0.017394592861488423,0.014766683779622342,0.03087537605472192,0.01817881366751496,0.02480694691784169,0.03787770095392851,0.020703445650635786,0.01662745363976212,0.0,0.02591508580466721,0.018748169213489752,0.025674808298154838,0.014704292441876156,0.020815272356090667,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.017562789445387736,0.024325212770525996,0.021491713855208944,0.01639344262295082,0.019241446072101123,0.020072391147592506,0.01639344262295082,0.022097086912079608,0.017854296416882943
