 ,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Bin Fan,0.0,0.0256326007925508,0.034482758620689655,0.0256326007925508,0.022222222222222223,0.034482758620689655,0.026555952586407233,0.02,0.02,0.02486055050818142,0.029399051601892736,0.02051093267690182,0.02039118475715464,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02040816326530612,0.02,0.03224129401095805,0.02
Calvin Jia,0.0256326007925508,0.0,0.02564102564102564,0.03820803599504351,0.02945000320268802,0.03268602252303067,0.05,0.02564102564102564,0.02564102564102564,0.03146583877637763,0.02564102564102564,0.02598498501673715,0.02564102564102564,0.02564102564102564,0.027983662310423867,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.028583097523751475,0.02564102564102564,0.02564102564102564,0.02701716134791496,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.026416599065942358
Andrew Audibert,0.034482758620689655,0.02564102564102564,0.0,0.04,0.02564102564102564,0.03398138330152924,0.039872611141445,0.03571428571428571,0.03571428571428571,0.038461538461538464,0.045454545454545456,0.038461538461538464,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.038461538461538464,0.03571428571428571,0.038461538461538464,0.03571428571428571
Yupeng Fu,0.0256326007925508,0.03820803599504351,0.04,0.0,0.02564102564102564,0.03266857601924006,0.050898659855928764,0.04,0.0318464877649241,0.04,0.04,0.04,0.03324112476572668,0.039968038348871575,0.04,0.03571428571428571,0.04,0.03225806451612903,0.04,0.04,0.039872611141445,0.04,0.04,0.04,0.04,0.04,0.04
Haoyuan Li,0.022222222222222223,0.02945000320268802,0.02564102564102564,0.02564102564102564,0.0,0.02127178149057585,0.03031695312954162,0.02564102564102564,0.02564102564102564,0.034482758620689655,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02676438637860946,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.027767067240353285,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
Jiri Simsa,0.034482758620689655,0.03268602252303067,0.03398138330152924,0.03266857601924006,0.02127178149057585,0.0,0.023032671985243936,0.020833333333333332,0.020833333333333332,0.03384487217112064,0.027777777777777776,0.023485569615051043,0.023408229439226113,0.020833333333333332,0.020865053489458874,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.02413319668619763,0.020833333333333332,0.024382992454708537,0.020833333333333332
Gene Pang,0.026555952586407233,0.05,0.039872611141445,0.050898659855928764,0.03031695312954162,0.023032671985243936,0.0,0.043478260869565216,0.03324112476572668,0.04578685464956301,0.043478260869565216,0.04554875186742769,0.043478260869565216,0.039968038348871575,0.05270462766947299,0.03571428571428571,0.043478260869565216,0.04109974682633932,0.043478260869565216,0.044721359549995794,0.043478260869565216,0.043478260869565216,0.04578685464956301,0.043478260869565216,0.043478260869565216,0.041666666666666664,0.04714045207910317
Pei Sun,0.02,0.02564102564102564,0.03571428571428571,0.04,0.02564102564102564,0.020833333333333332,0.043478260869565216,0.0,0.02857142857142857,0.037037037037037035,0.058823529411764705,0.05,0.047565149415449405,0.03225806451612903,0.05555555555555555,0.03571428571428571,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.03225806451612903,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.041666666666666664,0.05555555555555555
madanadit,0.02,0.02564102564102564,0.03571428571428571,0.0318464877649241,0.02564102564102564,0.020833333333333332,0.03324112476572668,0.02857142857142857,0.0,0.02857142857142857,0.03146583877637763,0.02857142857142857,0.027777777777777776,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.029411764705882353,0.02857142857142857,0.02857142857142857
cc,0.02486055050818142,0.03146583877637763,0.038461538461538464,0.04,0.034482758620689655,0.03384487217112064,0.04578685464956301,0.037037037037037035,0.02857142857142857,0.0,0.043478260869565216,0.04311306135592269,0.027777777777777776,0.037037037037037035,0.03747658444979307,0.03571428571428571,0.037037037037037035,0.034401045807689073,0.037037037037037035,0.037037037037037035,0.03331483023263848,0.037037037037037035,0.037037037037037035,0.043478260869565216,0.037037037037037035,0.037037037037037035,0.037037037037037035
Chaomin Yu,0.029399051601892736,0.02564102564102564,0.045454545454545456,0.04,0.02564102564102564,0.027777777777777776,0.043478260869565216,0.058823529411764705,0.03146583877637763,0.043478260869565216,0.0,0.05,0.031943828249996996,0.05,0.05555555555555555,0.03571428571428571,0.05555555555555555,0.042485928866208736,0.05555555555555555,0.05555555555555555,0.03225806451612903,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.041666666666666664,0.05555555555555555
haoyuan,0.02051093267690182,0.02598498501673715,0.038461538461538464,0.04,0.02564102564102564,0.023485569615051043,0.04554875186742769,0.05,0.02857142857142857,0.04311306135592269,0.05,0.0,0.027777777777777776,0.03225806451612903,0.05,0.03571428571428571,0.05,0.03901371573204352,0.05,0.05,0.03225806451612903,0.05,0.05,0.05,0.05,0.041666666666666664,0.05
Jan Hentschel,0.02039118475715464,0.02564102564102564,0.03571428571428571,0.03324112476572668,0.02564102564102564,0.023408229439226113,0.043478260869565216,0.047565149415449405,0.027777777777777776,0.027777777777777776,0.031943828249996996,0.027777777777777776,0.0,0.027777777777777776,0.02855977389887699,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.02855977389887699,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.030978910540439487,0.027777777777777776
Yanqin Jin,0.02,0.02564102564102564,0.03571428571428571,0.039968038348871575,0.02564102564102564,0.020833333333333332,0.039968038348871575,0.03225806451612903,0.02857142857142857,0.037037037037037035,0.05,0.03225806451612903,0.027777777777777776,0.0,0.03225806451612903,0.03225806451612903,0.04109974682633932,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03331483023263848,0.03225806451612903,0.03225806451612903
Mingfei,0.02,0.027983662310423867,0.03571428571428571,0.04,0.02676438637860946,0.020865053489458874,0.05270462766947299,0.05555555555555555,0.02857142857142857,0.03747658444979307,0.05555555555555555,0.05,0.02855977389887699,0.03225806451612903,0.0,0.038461538461538464,0.09090909090909091,0.03225806451612903,0.14285714285714285,0.1111111111111111,0.03225806451612903,0.125,0.14285714285714285,0.1414213562373095,0.14285714285714285,0.04503773491110449,0.07692307692307693
David Capwell,0.02,0.02564102564102564,0.03571428571428571,0.03571428571428571,0.02564102564102564,0.020833333333333332,0.03571428571428571,0.03571428571428571,0.02857142857142857,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.027777777777777776,0.03225806451612903,0.038461538461538464,0.0,0.03571428571428571,0.03225806451612903,0.04079085082240021,0.03571428571428571,0.03225806451612903,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03641785203646149
bf8086,0.02,0.02564102564102564,0.03571428571428571,0.04,0.02564102564102564,0.020833333333333332,0.043478260869565216,0.05555555555555555,0.02857142857142857,0.037037037037037035,0.05555555555555555,0.05,0.027777777777777776,0.04109974682633932,0.09090909090909091,0.03571428571428571,0.0,0.03225806451612903,0.09090909090909091,0.09090909090909091,0.03225806451612903,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.041666666666666664,0.07692307692307693
gjhkael,0.02,0.02564102564102564,0.03571428571428571,0.03225806451612903,0.02564102564102564,0.020833333333333332,0.04109974682633932,0.05555555555555555,0.02857142857142857,0.034401045807689073,0.042485928866208736,0.03901371573204352,0.027777777777777776,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03369085602646046,0.03225806451612903,0.03225806451612903
Henry Saputra,0.02,0.02564102564102564,0.03571428571428571,0.04,0.02564102564102564,0.020833333333333332,0.043478260869565216,0.05555555555555555,0.02857142857142857,0.037037037037037035,0.05555555555555555,0.05,0.027777777777777776,0.03225806451612903,0.14285714285714285,0.04079085082240021,0.09090909090909091,0.03225806451612903,0.0,0.1111111111111111,0.03225806451612903,0.125,0.125,0.125,0.14285714285714285,0.04343722427630694,0.07692307692307693
David Zhu,0.02,0.028583097523751475,0.03571428571428571,0.04,0.02564102564102564,0.020833333333333332,0.044721359549995794,0.05555555555555555,0.02857142857142857,0.037037037037037035,0.05555555555555555,0.05,0.027777777777777776,0.03225806451612903,0.1111111111111111,0.03571428571428571,0.09090909090909091,0.03225806451612903,0.1111111111111111,0.0,0.03225806451612903,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.041666666666666664,0.07692307692307693
Shaoshan Liu,0.02,0.02564102564102564,0.03571428571428571,0.039872611141445,0.02564102564102564,0.020833333333333332,0.043478260869565216,0.03225806451612903,0.02857142857142857,0.03331483023263848,0.03225806451612903,0.03225806451612903,0.02855977389887699,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.037037037037037035
LuQQiu,0.02,0.02564102564102564,0.03571428571428571,0.04,0.02564102564102564,0.020833333333333332,0.043478260869565216,0.05555555555555555,0.02857142857142857,0.037037037037037035,0.05555555555555555,0.05,0.027777777777777776,0.03225806451612903,0.125,0.03571428571428571,0.09090909090909091,0.03225806451612903,0.125,0.1111111111111111,0.03225806451612903,0.0,0.125,0.125,0.125,0.041666666666666664,0.07692307692307693
Carson Wang,0.02,0.02701716134791496,0.03571428571428571,0.04,0.027767067240353285,0.020833333333333332,0.04578685464956301,0.05555555555555555,0.02857142857142857,0.037037037037037035,0.05555555555555555,0.05,0.027777777777777776,0.03225806451612903,0.14285714285714285,0.03571428571428571,0.09090909090909091,0.03225806451612903,0.125,0.125,0.03225806451612903,0.125,0.0,0.125,0.125,0.041666666666666664,0.07692307692307693
