 ,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Bin Fan,0.0,0.1016480325250472,0.10833161119616985,0.07528599154755374,0.05019304640647919,0.042487277842491136,0.08280557149564399,0.06890058781732446,0.024900828556110782,0.035025727160267264,0.04775219835852563,0.0263,0.011371998825725435,0.01246567650915518,0.031857142857142855,0.007821428571428571,0.01649218703959641,0.005076769365175278,0.01842857142857143,0.013758670174599379,0.0035870686677868698,0.0135,0.013290471827979313,0.014016061491075104,0.017874783073020956,0.004208333333333334,0.00776923076923077
Calvin Jia,0.1016480325250472,0.0,0.09205128205128206,0.08088925559281397,0.05154193456489989,0.04092491519919012,0.11725909846712555,0.0754009473371711,0.024806735575277343,0.03564854219016967,0.04816348459189583,0.0263,0.011894073644778309,0.012062941979392656,0.03241570567122094,0.007821428571428571,0.017516123604957655,0.0051330510110598766,0.018616506193022967,0.014740728474897153,0.0036085216781847527,0.0135199600577841,0.013746610237068451,0.014146604716932947,0.018474327804855445,0.004208333333333334,0.00776923076923077
Andrew Audibert,0.10833161119616985,0.09205128205128206,0.0,0.08283707995906464,0.044717948717948715,0.04503259946511836,0.07078260869565217,0.06956125055041831,0.025405719255538767,0.035521739130434785,0.05034521398842255,0.0263,0.01135142090387732,0.01211463120795286,0.031857142857142855,0.007821428571428571,0.016448837970540097,0.005121431560317478,0.01842857142857143,0.013111111111111112,0.0036330770121449424,0.013755931919691993,0.013250000000000001,0.014544440312300694,0.017948989455414118,0.004208333333333334,0.00776923076923077
Yupeng Fu,0.07528599154755374,0.08088925559281397,0.08283707995906464,0.0,0.044717948717948715,0.04585790750863376,0.08555401154829918,0.06077777777777778,0.025361346779427064,0.041782842220800864,0.04533333333333334,0.0263,0.011245016021675871,0.012327934869029613,0.031857142857142855,0.007821428571428571,0.019275885700093316,0.005054743542663604,0.01842857142857143,0.015260525283963886,0.0037230056525435823,0.0135,0.013250000000000001,0.015886997705321412,0.017673078085638172,0.004208333333333334,0.00776923076923077
Haoyuan Li,0.05019304640647919,0.05154193456489989,0.044717948717948715,0.044717948717948715,0.0,0.03517447630182145,0.05062018603970279,0.044717948717948715,0.0238,0.030662978669442634,0.044717948717948715,0.0263,0.010917635226141753,0.011709677419354837,0.03368723309489008,0.008500576104871427,0.015818181818181815,0.00503225806451613,0.023999412689854765,0.013452250016385725,0.00357008802123987,0.0135,0.0141510247419031,0.013214129785657273,0.017166666666666667,0.0042806386546453135,0.008168475134353021
Jiri Simsa,0.042487277842491136,0.04092491519919012,0.04503259946511836,0.04585790750863376,0.03517447630182145,0.0,0.0364477968160486,0.034499999999999996,0.0238,0.04805882352941177,0.046,0.0263,0.01220184045129972,0.011709677419354837,0.031857142857142855,0.007821428571428571,0.015818181818181815,0.005188853063585199,0.01842857142857143,0.015186471444610996,0.0038269438894728103,0.0135,0.013250000000000001,0.020531201401960585,0.018761782990890034,0.004208333333333334,0.00776923076923077
Gene Pang,0.08280557149564399,0.11725909846712555,0.07078260869565217,0.08555401154829918,0.05062018603970279,0.0364477968160486,0.0,0.06554073584941676,0.025538066844820333,0.03336781892307663,0.04778717676076612,0.0263,0.012147469456252764,0.012236896922393485,0.031857142857142855,0.007821428571428571,0.01743972511548353,0.005207709118111373,0.01842857142857143,0.015091344324234875,0.0036435917044536966,0.0135,0.013271868557240205,0.013790845885700679,0.01884500017901843,0.004208333333333334,0.00776923076923077
Pei Sun,0.06890058781732446,0.0754009473371711,0.06956125055041831,0.06077777777777778,0.044717948717948715,0.034499999999999996,0.06554073584941676,0.0,0.0238,0.03025925925925926,0.048,0.0263,0.012898260691327627,0.011709677419354837,0.031857142857142855,0.007821428571428571,0.015818181818181815,0.005457850587211738,0.01842857142857143,0.013111111111111112,0.0035483870967741938,0.0135,0.013250000000000001,0.013124999999999998,0.02197834553069161,0.004208333333333334,0.00776923076923077
madanadit,0.024900828556110782,0.024806735575277343,0.025405719255538767,0.025361346779427064,0.0238,0.0238,0.025538066844820333,0.0238,0.0,0.0238,0.026699730616437805,0.0238,0.010805555555555556,0.022756361783523665,0.0238,0.007821428571428571,0.0238,0.006248911137960704,0.01842857142857143,0.013111111111111112,0.0035483870967741938,0.0135,0.013250000000000001,0.013124999999999998,0.021272729524798303,0.004208333333333334,0.00776923076923077
cc,0.035025727160267264,0.03564854219016967,0.035521739130434785,0.041782842220800864,0.030662978669442634,0.04805882352941177,0.03336781892307663,0.03025925925925926,0.0238,0.0,0.035521739130434785,0.0263,0.011213929739050008,0.013667479327843027,0.03613285458489103,0.007821428571428571,0.015818181818181815,0.00509475848076223,0.020108230525006047,0.018899986230576288,0.003904113886769507,0.0135,0.013324909923437033,0.022879664908079588,0.017535111481558657,0.004208333333333334,0.00776923076923077
